Datetime,Tweet Id,Text,Username
2022-12-13 20:22:33+00:00,1602760908928958469,"@ImranRiazKhan سازشی صرف عمران خان کو بدلنا چاہتے تھے کیونکہ وہ اسٹیبلشمنٹ پر بھاری تھا۔ 
#چور_ہٹاؤ_ملک_بچاؤ #قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
2022-12-13 20:20:42+00:00,1602760443122094083,"@ImranRiazKhan کچھ لفافے ڈیزل کی قیمتوں سے زیادہ بھاری ہیں۔ 
#قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور #چور_ہٹاؤ_ملک_بچاؤ",Faizansalim1122
2022-12-13 19:51:26+00:00,1602753081019613185,"کیونکہ بھٹو ابھی تک زندہ ہے۔
 #قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور #چور_ہٹاؤ_ملک_بچاؤ",Faizansalim1122
2022-12-13 16:01:58+00:00,1602695331262636034,"پاکستان برائے فروخت۔ 
#چور_ہٹاؤ_ملک_بچاؤ #قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
2022-12-13 15:43:00+00:00,1602690559055138818,"@amber_rj #چور_ہٹاؤ_ملک_بچاؤ
اب 9 مہینے ہو گئے ہیں مجھے نہیں معلوم کہ وہ بچے کو جنم دیں گے یا نہیں۔ 
#قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
2022-12-13 15:41:01+00:00,1602690058540154880,"ان لٹیروں کے پیچھے سازش کرنے والوں  کو نہ بھولیں۔ 
#قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
2022-12-13 15:39:04+00:00,1602689568415051776,"یہ رنڈی کا بچہ کہاں ہے؟ 
#قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
2022-12-13 15:19:57+00:00,1602684758638600196,"اللہ ان لوگوں کو جلد صحت یاب کریں جو اب بھی ان بدمعاشوں کی حمایت کرتے ہیں 
#قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
2022-12-13 14:37:38+00:00,1602674110487842817,"اسماء سب سے بڑی کنجری ہے۔ 
#قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
2022-12-13 14:18:06+00:00,1602669193903603712,"ہم لوٹ مار کرنے والوں کے ہتھے چڑھ گئے ہیں۔ 
#قوم_کا_ہیرو_عادل_راجہ #عادل_وفادار_راجہ #عادل_راجہ_سچا #امپوڑٹڈ_حکومت_نامنظور",Faizansalim1122
